x,y
225148.814,9029192.73
225660.142,9027270.93
226171.47,9025349.14
226682.798,9023427.35
227349.312,9021568.25
228316.345,9019830.55
229283.379,9018092.86
230422.888,9016470.44
231658.758,9014912.44
232894.628,9013354.44
234272.618,9011941.13
235852.549,9010733.42
237432.479,9009525.71
239012.41,9008318.01
240722.33,9007316.62
242493.78,9006412.9
244265.23,9005509.18
246036.68,9004605.46
247808.129,9003701.74
249648.407,9002957.62
251521.496,9002289.58
253394.585,9001621.53
255267.674,9000953.49
257226.408,9000683.94
259208.57,9000523.39
261190.732,9000362.84
263174.414,9000223.66
265159.357,9000102.23
267144.299,8999980.8
269129.242,8999859.36
271113.513,8999811.62
273095.913,8999969.2
275078.313,9000126.79
277060.713,9000284.38
279043.113,9000441.96
280882.15,9001168.71
282702.659,9001969.02
284523.167,9002769.33
286343.675,9003569.64
287985.181,9004690.65
289622.013,9005820.04
291258.845,9006949.44
292895.676,9008078.83
294330.168,9009426.26
295578.501,9010974.29
296826.835,9012522.33
298075.169,9014070.36
298916.319,9015811.15
299322.4,9017757.9
299728.481,9019704.65
300134.562,9021651.4
236431.931,9100215.26
236822.418,9101147.69
237212.904,9102080.11
237603.391,9103012.53
237993.877,9103944.96
238279.315,9104911.34
238508.535,9105895.9
238737.756,9106880.46
238966.976,9107865.01
239172.401,9108851.02
239064.854,9109856.18
238957.307,9110861.33
238849.76,9111866.48
238742.213,9112871.63
238548.096,9113850.2
238073.051,9114742.51
237598.005,9115634.83
237122.96,9116527.14
236647.915,9117419.46
236172.869,9118311.77
235696.896,9119203.44
235019.262,9119953.57
234341.628,9120703.71
233663.994,9121453.85
232986.361,9122203.99
232308.727,9122954.13
231631.093,9123704.26
230953.459,9124454.4
230072.98,9124926.44
229151.708,9125342.56
228230.435,9125758.67
227309.162,9126174.78
226387.889,9126590.9
225466.617,9127007.01
224461.078,9127107.07
223454.93,9127204.85
222448.781,9127302.62
221442.633,9127400.4
220436.485,9127498.17
226295,9028047
226194,9028919
227191.945,9026686.55
227749.449,9025233.66
228299.385,9023709.38
228949.464,9022138.32
229853.974,9020888.18
230478.78,9019370.49
231498.252,9017870.09
232617.219,9016392.93
233808.05,9014943.51
235093.013,9013580.99
236514.07,9012355.6
238022.003,9011196.61
239560.275,9010069.71
241159.251,9009051.36
242834.061,9008138.4
244539.311,9007262.86
246250.286,9006394.65
247974.235,9005544.88
249726.457,9004775.59
251521.538,9004091.27
253337.932,9003446.2
255173.703,9002853.3
257035.703,9002460.87
258948.313,9002248.86
260872.212,9002091.21
262793.92,9001950.63
264715.957,9001825.04
266639.092,9001707.69
268563.154,9001603.46
270485.115,9001555.2
272397.55,9001621.65
274316.923,9001762.21
276232.848,9001922.68
278136.637,9002148.69
279948.138,9002651.08
281728.158,9003378.6
283491.879,9004165.7
285431.73,9004958.59
286847.678,9006199.84
288383.52,9006977.58
289908.288,9008045.89
291417.492,9009132.99
292799.189,9010329.64
294023.7,9011666.52
295169.555,9013061.58
296261.001,9014452.42
297122.489,9015909.8
297679.471,9017438.07
298071.338,9018950.11
298479.212,9020080.3
299082,9020679
299145,9021530
236024.117,9100610.94
236066.197,9099878.02
235893.759,9101208.16
236254.931,9101909.46
236609.33,9102691.73
236784.855,9103461.93
237159.197,9104140.18
237423.151,9105004.42
237649.388,9105902.49
237859.22,9106817.67
238063.434,9107741.65
238222.224,9108676.68
238228.38,9109614.6
238133.131,9110573.71
238027.19,9111534.03
237901.06,9112500.97
237730.34,9113534.78
237188.612,9114358.4
236884.021,9115169.77
236425.229,9116018.46
235968.703,9116873.77
235504.031,9117727.42
235010.14,9118561.63
234425.755,9119324.11
233775.535,9120053.3
233123.047,9120775.82
232470.877,9121497.48
231816.598,9122221.45
231147.305,9122946.35
230435.442,9123731.8
229482.564,9124245.02
228594.904,9124647.35
227755.071,9124912.21
227032.12,9125370.11
226159.303,9125757.15
225186.541,9126178.42
224137.669,9126277.18
223277.253,9126271.8
222513.164,9126486.73
221672.231,9126602.9
220959.565,9126622.26
220751.998,9127051.74
220295,9127025
226812,9028797
227120.093,9027987.4
227928.474,9027657.99
228613.81,9026535.53
229270.876,9025449.08
229811.201,9024072.57
230466.798,9022678.12
231266.563,9021234.17
232136.186,9019797.72
233128.797,9018394.43
234208.356,9017014.92
235373.003,9015678.31
236648.986,9014431.01
238033.074,9013273.27
239483.835,9012171.38
240988.21,9011135.43
242558.066,9010190.43
244180.581,9009315.63
245827.271,9008469.46
247487.713,9007638.66
249169.582,9006849.54
250884.671,9006129.63
252631.43,9005470.29
254401.245,9004860.42
256198.559,9004367.66
258033.947,9004047.66
259896.538,9003850.21
261763.985,9003700.46
263631.809,9003568.85
265499.756,9003448.31
267368.082,9003338.33
269235.576,9003260.51
271098.785,9003257.61
272959.627,9003340.33
274818.276,9003473.13
276671.391,9003656.63
278475.817,9003966.9
280248.581,9004552.55
281922.643,9005276.05
283598.201,9006021.86
285165.36,9006884.63
286700.869,9007863.14
288190.772,9008831.64
289637.859,9009839.45
291001.437,9010905.86
292230.421,9012072.6
293343.583,9013307.87
294370.641,9014560.57
295290.212,9015785.42
295981.462,9017096.47
296463.881,9018309.61
296823.868,9019356.49
297439.6,9020162.96
298046.894,9020848.42
298569,9021329
235616.34,9100133.79
235336.553,9100660.86
235717.46,9099684.88
235222.885,9101214.84
235489.976,9101699.86
235558.543,9102263.53
235840.9,9102791.65
236078.259,9103504.4
236343.068,9104262.61
236593.615,9105040.92
236806.309,9105861.85
236999.677,9106706.97
237187.17,9107569.32
237340.978,9108448.19
237388.71,9109340.44
237331.121,9110244.8
237231.429,9111155.38
237115.135,9112066.76
236938.205,9112967.13
236611.006,9113819.19
236186.914,9114659.74
235763.604,9115478.68
235323.653,9116299.65
234875.298,9117118.3
234396.454,9117919.04
233850.747,9118671.66
233243.335,9119383.56
232617.146,9120080.02
231990.244,9120773.73
231362.409,9121468.42
230730.184,9122156.99
230065.821,9122801.75
229459.613,9123381.36
228634.22,9123695.01
227699.581,9124067.37
226810.339,9124540.91
225968.589,9124905.61
225237.452,9125298.19
224401.279,9125399.68
223451.625,9125483.82
222543.073,9125676.73
221750.414,9125830.33
221042.169,9125994.34
220430.926,9126128.25
220351.625,9126604.97
219916.97,9126807.74
227466.636,9028692.75
228253.278,9028600.41
228761.437,9027990.95
229012.504,9027351.73
230017.853,9026891.72
230607.317,9025649.72
231193.509,9024380.95
231858.212,9023067.96
232658.435,9021746.92
233537.552,9020422.26
234513.447,9019108.46
235571.576,9017811.58
236722.098,9016560
237979.131,9015382.96
239329.653,9014281.18
240747.086,9013239.94
242224.817,9012266.07
243761.714,9011367.9
245342.198,9010525.49
246946.667,9009710.22
248569.07,9008918.88
250218.341,9008171.63
251898.459,9007483.97
253609.02,9006855.48
255342.09,9006297.29
257115.203,9005871.86
258919.787,9005592.79
260737.637,9005415.31
262560.304,9005272.87
264383.204,9005147.14
266205.734,9005032.72
268027.16,9004937.52
269846.362,9004887.33
271662.594,9004909.02
273474.466,9005000.73
275276.724,9005147.08
277037.792,9005398.29
278688.753,9005570.56
280128.102,9006297.57
281766.418,9006952.96
283341.636,9007707.39
284862.519,9008544.11
286323.073,9009458.99
287737.579,9010383.86
289092.326,9011340.9
290351.845,9012355.1
291494.205,9013437.64
292541.912,9014556.24
293469.193,9015771.53
294497.164,9016785.66
294892.611,9017974.85
295744.383,9019054.72
296336.783,9020055.79
296593.333,9020787.25
297262.198,9020925.59
297518,9021329
297930.818,9021402.21
235255.856,9099692.92
235197.043,9100083.96
234872.972,9100289.56
234807.312,9100886.84
234770.985,9101366.59
234966.319,9101675.06
235037.129,9102220.17
235195.703,9102936.75
235422.485,9103594.23
235622.386,9104299.01
235828.518,9105031.98
236015.007,9105795.92
236188.422,9106577.07
236363.749,9107385.69
236509.14,9108213.57
236583.351,9109058.65
236559.541,9109917.81
236474.873,9110783.88
236359.577,9111654.97
236208.062,9112514.27
235927.708,9113360.56
235543.757,9114159.43
235127.856,9114953.71
234708.54,9115741.09
234275.382,9116526.26
233815.352,9117297.37
233301.716,9118032.97
232733.073,9118729.48
232125.407,9119403.05
231526.116,9120066.33
230928.032,9120741.56
230312.389,9121405.81
229678.328,9122046.1
228915.156,9122693.52
228024.768,9123098.36
227237.169,9123358.1
226571.5,9123783.74
225757.633,9124125.09
224888.749,9124513.49
223972.998,9124682.06
223201.545,9124721.27
222522.672,9124948.46
221782.54,9125110.55
221102.7,9125333.17
220475.761,9125553.07
219905.642,9125804.85
219880.394,9126308.28
219470.749,9126600.7
229035.79,9028529.44
229669.863,9027922.49
230511.509,9028122.56
231024.433,9027578.86
231274.654,9026681.45
232045.446,9025594.67
232620.816,9024410.26
233314.993,9023234.06
