x,y,u,v,mag
225879.271,9028719.577,0.01244,-0.00326,0.01286
225701.319,9028170.220,0.00171,0.00045,0.00176
226382.362,9027334.827,0.00915,0.00577,0.01082
226341.186,9026435.540,0.00236,0.00063,0.00244
227037.621,9025756.450,0.00981,0.00376,0.01051
226867.906,9024670.050,0.00131,0.00035,0.00136
227577.211,9024123.463,0.01153,0.00415,0.01226
227443.832,9022901.660,0.00096,0.00035,0.00102
228199.387,9022471.983,0.01336,0.00552,0.01446
228205.040,9021179.040,0.00092,0.00051,0.00105
229039.928,9020952.350,0.01410,0.01017,0.01739
229549.700,9020029.740,0.01271,0.00523,0.01374
229359.501,9019097.967,0.00125,0.00069,0.00143
230420.137,9018444.480,0.01068,0.00726,0.01291
230401.506,9017477.797,0.00115,0.00081,0.00141
231512.786,9016911.153,0.01004,0.00760,0.01259
231566.288,9015925.270,0.00116,0.00092,0.00148
232694.676,9015416.293,0.00944,0.00775,0.01221
232787.145,9014403.463,0.00135,0.00107,0.00172
233931.897,9013959.647,0.00935,0.00881,0.01284
234086.753,9012958.853,0.00111,0.00108,0.00155
235293.234,9012625.907,0.00880,0.01020,0.01347
235546.412,9011676.717,0.00080,0.00104,0.00131
236796.207,9011428.543,0.00769,0.01000,0.01261
237102.344,9010485.247,0.00088,0.00116,0.00146
238338.252,9010264.010,0.00737,0.01007,0.01248
238668.388,9009304.477,0.00098,0.00132,0.00165
239910.645,9009146.360,0.00727,0.01141,0.01353
240297.997,9008228.663,0.00071,0.00121,0.00140
241571.881,9008168.793,0.00637,0.01168,0.01330
242016.724,9007289.307,0.00062,0.00122,0.00137
243289.051,9007271.387,0.00584,0.01137,0.01278
243766.107,9006394.980,0.00068,0.00133,0.00149
245018.276,9006388.897,0.00566,0.01116,0.01251
245517.399,9005503.097,0.00074,0.00145,0.00163
246753.734,9005514.997,0.00550,0.01115,0.01243
247273.015,9004617.360,0.00081,0.00159,0.00178
248502.940,9004674.070,0.00520,0.01183,0.01292
249060.998,9003811.650,0.00060,0.00149,0.00160
250298.801,9003941.493,0.00454,0.01190,0.01274
250897.147,9003112.823,0.00054,0.00150,0.00160
252126.989,9003275.683,0.00416,0.01171,0.01242
252751.338,9002452.437,0.00058,0.00163,0.00173
253968.740,9002640.343,0.00386,0.01195,0.01255
254611.987,9001809.440,0.00064,0.00178,0.00189
255825.693,9002089.220,0.00298,0.01414,0.01446
256509.928,9001366.100,0.00018,0.00127,0.00129
257736.808,9001797.890,0.00152,0.01376,0.01385
258461.097,9001152.063,0.00010,0.00124,0.00124
259676.365,9001621.153,0.00109,0.01326,0.01330
260423.838,9000992.480,0.00012,0.00132,0.00132
261618.955,9001468.227,0.00095,0.01295,0.01299
262386.355,9000845.710,0.00011,0.00138,0.00138
263561.430,9001333.110,0.00082,0.01262,0.01264
264349.909,9000716.977,0.00009,0.00146,0.00146
265504.802,9001211.653,0.00075,0.01236,0.01238
266314.249,9000596.907,0.00010,0.00158,0.00158
267448.848,9001097.317,0.00066,0.01222,0.01224
268278.898,9000481.207,0.00010,0.00171,0.00171
269392.504,9001006.007,0.00031,0.01245,0.01245
270242.623,9000408.727,0.00004,0.00171,0.00171
271332.059,9000996.157,-0.00045,0.01290,0.01290
272202.325,9000467.490,-0.00012,0.00149,0.00150
273270.129,9001117.687,-0.00090,0.01230,0.01233
274163.716,9000619.400,-0.00013,0.00161,0.00162
275209.361,9001270.560,-0.00101,0.01210,0.01214
276123.958,9000777.950,-0.00014,0.00176,0.00176
277143.399,9001451.917,-0.00145,0.01227,0.01235
278080.154,9000958.343,-0.00016,0.00197,0.00198
279042.629,9001747.243,-0.00416,0.01500,0.01556
279957.800,9001420.583,-0.00041,0.00104,0.00111
280852.815,9002399.463,-0.00529,0.01294,0.01398
281770.989,9002172.110,-0.00045,0.00102,0.00112
282640.899,9003171.107,-0.00550,0.01233,0.01350
283572.568,9002968.017,-0.00048,0.00110,0.00120
284482.259,9003964.540,-0.00504,0.01231,0.01330
285432.857,9003765.853,-0.00044,0.00096,0.00106
